acc_x[g],acc_y[g],acc_z[g]
-0.291,0.075,0.911
-0.227,0.007,1.017
-0.264,0,0.98
-0.321,0.081,0.946
-0.323,0.11,0.908
-0.228,-0.006,1.008
-0.251,0.003,1.019
-0.29,0.037,0.94
-0.331,0.116,0.876
-0.313,0.044,0.885
-0.256,-0.015,1.057
-0.249,0.029,1.025
-0.305,0.109,0.924
-0.281,0.057,0.896
-0.252,-0.024,0.995
-0.3,0.053,1
-0.284,0.075,1.005
-0.278,0.08,0.89
-0.221,-0.001,1.02
-0.296,0.029,0.977
-0.298,0.074,0.973
-0.308,0.093,0.907
-0.243,-0.009,0.98
-0.254,0.024,1.014
-0.321,0.066,0.894
-0.338,0.087,0.899
-0.26,0.019,0.977
-0.224,-0.005,1.057
-0.311,0.06,0.923
-0.35,0.081,0.862
-0.276,0.023,0.919
-0.256,0.015,1.031
-0.258,0.061,1.041
-0.286,0.063,0.962
-0.294,0.049,0.844
-0.25,0,1.006
-0.278,0.056,1.029
-0.292,0.094,1.005
-0.291,0.065,0.918
-0.217,-0.024,0.991
-0.279,0.039,0.987
-0.319,0.068,0.959
-0.313,0.069,0.889
-0.214,0.012,1.009
-0.266,0.009,0.974
-0.301,0.049,0.965
-0.337,0.083,0.878
-0.26,0.026,0.94
-0.231,0.028,1.062
-0.264,0.034,0.979
-0.337,0.083,0.911
-0.296,0.061,0.863
-0.234,-0.002,1.08
-0.272,0.044,0.998
-0.302,0.058,0.963
-0.273,0.054,0.869
-0.274,0.005,0.945
-0.323,0.054,0.97
-0.292,0.054,1.007
-0.258,0.068,0.929
-0.21,0.017,1.003
-0.302,0.02,0.953
-0.345,0.055,0.926
-0.328,0.09,0.916
-0.22,0.019,0.997
-0.231,0.036,1.055
-0.324,0.035,0.926
-0.351,0.083,0.883
-0.26,0.05,0.946
-0.243,0.007,1.051
-0.277,0.033,0.986
-0.317,0.05,0.896
-0.302,0.074,0.854
-0.26,0.015,1.023
-0.279,0.039,1.025
-0.306,0.04,0.962
-0.284,0.069,1.015
-0.247,0.007,0.948
-0.31,0.073,0.968
-0.331,0.068,0.929
-0.215,0.003,0.995
-0.271,0.029,1.008
-0.329,0.047,0.954
-0.315,0.107,0.89
-0.228,0.038,1.01
-0.231,-0.009,1.043
-0.285,0.028,0.98
-0.332,0.103,0.894
-0.265,0.057,0.921
-0.243,0.015,1.058
-0.276,-0.009,0.996
-0.307,0.099,0.948
-0.269,0.075,0.885
-0.265,0.002,1.01
-0.299,0.038,0.985
-0.288,0.064,1.011
-0.274,0.079,0.883
-0.261,0.006,0.967
-0.319,0.024,0.97
-0.298,0.055,0.981
-0.281,0.108,0.939
-0.213,0.008,1.009
-0.277,-0.017,0.955
-0.337,0.055,0.898
-0.323,0.11,0.916
-0.229,0.039,0.997
-0.221,-0.009,1.087
-0.312,0.023,0.931
-0.327,0.105,0.881
-0.271,0.066,0.915
-0.257,-0.022,1.043
-0.264,0.037,1.016
-0.325,0.081,0.906
-0.29,0.086,0.855
-0.269,-0.009,1.002
-0.287,0.02,1.011
-0.288,0.089,0.978
-0.277,0.074,0.914
-0.247,-0.009,0.964
-0.31,0.024,0.955
-0.318,0.077,0.979
-0.279,0.082,0.925
-0.215,-0.005,1.005
-0.261,0.002,1.01
-0.329,0.058,0.908
-0.345,0.126,0.88
-0.253,0.018,0.981
-0.216,-0.025,1.065
-0.289,0.055,0.961
-0.339,0.115,0.877
-0.294,0.049,0.873
-0.261,-0.019,1.042
-0.282,0.032,0.992
-0.293,0.092,0.974
-0.281,0.068,0.888
-0.269,-0.014,0.988
-0.286,0.037,0.975
-0.296,0.076,0.996
-0.285,0.085,0.893
-0.24,-0.016,1.025
-0.303,0.033,0.944
-0.334,0.087,0.939
-0.311,0.1,0.928
-0.217,-0.015,1.013
-0.266,0.004,0.986
-0.323,0.08,0.917
-0.319,0.098,0.904
-0.256,0.021,0.977
-0.24,0.002,1.056
-0.257,0.028,0.981
-0.317,0.087,0.9
-0.286,0.05,0.898
-0.253,-0.014,1.028
-0.265,0.058,1.027
-0.3,0.077,0.972
-0.289,0.056,0.866
-0.246,0.001,0.993
-0.309,0.051,0.974
-0.3,0.071,0.985
-0.285,0.074,0.905
-0.233,-0.007,0.974
-0.284,0.034,0.965
-0.33,0.083,0.931
-0.324,0.075,0.922
-0.233,0.011,1.013
-0.228,0.02,1.039
-0.3,0.055,0.926
-0.352,0.094,0.863
-0.262,0.013,0.956
-0.218,0.009,1.069
-0.264,0.063,1.004
-0.325,0.069,0.888
-0.297,0.05,0.833
-0.264,0.019,1.009
-0.269,0.038,1.037
-0.28,0.07,1.014
-0.289,0.079,0.865
-0.25,-0.009,0.96
-0.285,0.039,0.978
-0.318,0.065,0.98
-0.301,0.07,1.01
-0.224,0.025,0.978
-0.268,0.051,0.934
-0.32,0.082,0.903
-0.206,0.018,0.997
-0.256,0.042,1.031
-0.315,0.026,0.918
-0.344,0.077,0.89
-0.281,0.058,0.908
-0.237,0.004,1.072
-0.27,0.021,0.985
-0.328,0.078,0.888
-0.286,0.069,0.889
-0.247,0.008,1.006
-0.289,0.055,1.032
-0.284,0.033,1.002
-0.262,0.084,0.899
-0.227,0.025,0.994
-0.302,0.02,0.955
-0.318,0.056,0.967
-0.31,0.088,0.889
-0.216,0.015,1.006
-0.253,0.029,1.016
-0.338,0.037,0.894
-0.34,0.09,0.874
