acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
383.568,707.600,286.944,515.328,749.568,265.472
380.640,709.552,282.064,468.480,757.376,249.856
379.176,713.944,278.648,491.904,765.184,234.240
377.712,715.408,276.696,499.712,726.144,234.240
375.760,719.800,274.744,523.136,772.992,242.048
371.368,723.704,275.720,476.288,718.336,242.048
367.464,728.096,269.864,429.440,796.416,210.816
366.000,730.048,268.400,460.672,772.992,195.200
361.120,734.928,264.496,452.864,741.760,218.624
358.192,736.392,262.544,484.096,772.992,226.432
352.336,742.248,261.568,460.672,765.184,179.584
346.968,745.664,258.152,437.248,772.992,226.432
339.648,750.056,257.176,421.632,796.416,210.816
334.768,757.376,255.224,445.056,765.184,195.200
331.840,761.768,252.784,413.824,812.032,242.048
326.960,766.648,251.808,484.096,796.416,210.816
321.104,775.432,252.784,406.016,827.648,218.624
317.688,778.848,251.320,445.056,819.840,195.200
312.808,784.704,251.808,437.248,812.032,203.008
309.392,791.536,251.320,390.400,843.264,203.008
307.440,795.440,249.856,460.672,796.416,171.776
302.072,799.344,248.880,398.208,851.072,187.392
299.144,802.760,245.464,390.400,804.224,195.200
298.168,807.640,245.952,406.016,843.264,179.584
292.800,809.592,244.488,382.592,827.648,226.432
289.384,811.056,246.440,390.400,827.648,203.008
286.456,815.448,243.024,374.784,843.264,195.200
283.040,817.400,241.072,366.976,882.304,195.200
278.648,817.400,241.072,413.824,843.264,187.392
274.744,818.864,241.072,351.360,866.688,187.392
272.792,820.816,242.536,382.592,835.456,179.584
269.864,818.864,240.584,374.784,835.456,187.392
268.888,817.400,240.096,366.976,835.456,179.584
267.424,816.424,239.608,343.552,835.456,171.776
267.912,815.448,235.704,366.976,843.264,187.392
267.424,813.008,232.776,335.744,827.648,195.200
269.376,814.472,226.920,374.784,874.496,187.392
269.864,809.592,223.016,374.784,843.264,179.584
270.840,805.688,220.088,343.552,796.416,171.776
271.816,803.248,214.720,374.784,819.840,171.776
271.816,800.808,211.304,374.784,819.840,171.776
270.352,797.392,208.376,359.168,804.224,148.352
271.328,796.416,203.496,366.976,843.264,140.544
274.256,794.952,203.008,366.976,835.456,117.120
273.280,792.024,199.104,366.976,819.840,124.928
272.304,790.560,198.128,366.976,827.648,156.160
271.816,790.560,193.248,374.784,851.072,140.544
271.328,788.120,188.856,351.360,812.032,148.352
270.352,785.192,184.464,343.552,827.648,124.928
269.864,784.704,181.048,390.400,843.264,140.544
269.864,782.752,177.632,390.400,827.648,117.120
270.352,783.240,170.800,390.400,843.264,124.928
267.912,782.752,166.896,374.784,843.264,140.544
268.400,782.752,164.456,335.744,804.224,109.312
263.032,784.216,162.016,374.784,835.456,101.504
263.032,782.264,157.136,312.320,819.840,109.312
260.104,784.704,153.720,359.168,812.032,93.696
260.592,790.560,146.888,359.168,835.456,93.696
259.616,792.024,144.936,359.168,827.648,39.040
257.176,794.952,141.520,351.360,804.224,70.272
256.688,799.344,135.664,335.744,819.840,101.504
254.736,800.320,131.760,343.552,843.264,70.272
252.296,801.784,128.832,343.552,866.688,62.464
251.320,804.712,125.904,382.592,819.840,93.696
247.416,808.616,121.512,327.936,874.496,54.656
246.440,809.592,119.072,390.400,851.072,78.080
245.952,812.032,114.192,351.360,858.880,31.232
241.072,813.008,108.336,359.168,851.072,54.656
238.632,815.448,106.384,343.552,851.072,54.656
236.192,817.888,103.456,351.360,827.648,39.040
232.776,821.304,99.552,327.936,874.496,7.808
230.824,825.208,94.184,359.168,827.648,23.424
225.944,823.744,91.256,304.512,874.496,31.232
223.016,826.672,88.816,296.704,882.304,54.656
219.112,830.576,84.912,327.936,866.688,46.848
217.648,833.504,79.544,288.896,851.072,7.808
214.232,837.408,79.056,335.744,866.688,39.040
211.304,839.848,76.616,304.512,866.688,31.232
210.816,841.800,73.200,265.472,882.304,31.232
212.280,844.240,68.320,343.552,913.536,31.232
214.232,844.728,62.952,312.320,890.112,15.616
213.256,845.216,56.120,335.744,843.264,62.464
213.744,842.288,50.264,265.472,866.688,-7.808
211.792,845.704,45.872,304.512,851.072,-15.616
211.792,843.264,40.992,304.512,882.304,0.000
211.304,841.800,32.696,343.552,858.880,-7.808
212.768,841.800,29.280,335.744,874.496,-7.808
213.744,840.336,25.864,281.088,882.304,-31.232
211.792,844.240,19.032,304.512,827.648,-39.040
213.256,841.800,18.056,335.744,874.496,-7.808
210.816,839.848,15.128,351.360,851.072,-46.848
209.352,842.776,11.712,304.512,843.264,-23.424
210.328,843.264,9.272,343.552,827.648,-31.232
210.328,843.264,9.272,312.320,913.536,-46.848
207.400,844.728,7.808,288.896,858.880,-78.080
203.984,844.728,5.368,273.280,851.072,-39.040
201.544,845.704,9.760,281.088,858.880,-39.040
198.616,849.120,5.856,304.512,851.072,-62.464
199.592,848.632,6.832,327.936,858.880,-31.232
193.248,851.560,7.320,288.896,882.304,-31.232
190.808,853.512,8.296,296.704,866.688,-31.232
189.344,854.976,7.320,249.856,882.304,-23.424
186.416,857.416,8.784,234.240,882.304,-62.464
185.928,860.832,7.808,281.088,905.728,-46.848
181.048,862.784,8.296,249.856,890.112,-31.232
179.584,865.224,8.784,281.088,936.960,-39.040
177.144,868.152,10.248,273.280,905.728,-23.424
173.240,869.616,10.248,304.512,905.728,-31.232
172.264,868.640,10.736,249.856,851.072,-62.464
168.848,872.544,10.248,257.664,897.920,-46.848
166.408,873.032,10.248,265.472,874.496,-31.232
164.944,874.496,9.272,226.432,890.112,-54.656
164.456,876.448,6.344,242.048,929.152,-62.464
159.088,879.376,7.808,242.048,905.728,-54.656
154.696,882.792,8.296,234.240,905.728,-46.848
152.744,884.744,8.296,234.240,897.920,-31.232
147.376,890.600,10.248,210.816,952.576,-39.040
145.424,896.944,10.736,226.432,921.344,-39.040
141.520,899.872,9.272,242.048,905.728,-23.424
136.152,905.240,10.248,257.664,952.576,-62.464
130.784,906.704,10.736,234.240,952.576,-46.848
127.368,911.096,11.712,249.856,944.768,-70.272
124.928,912.560,14.152,210.816,952.576,-54.656
121.024,916.464,13.176,210.816,952.576,-15.616
115.168,918.416,13.176,210.816,976.000,-7.808
107.360,923.296,16.592,210.816,968.192,-46.848
104.920,923.296,19.520,195.200,983.808,-78.080
99.064,927.688,19.520,187.392,960.384,-46.848
98.088,929.152,22.936,179.584,968.192,-31.232
93.696,933.056,24.888,195.200,960.384,-39.040
91.744,933.056,24.888,179.584,991.616,-15.616
87.840,940.864,29.280,210.816,952.576,-7.808
89.792,942.816,25.376,179.584,1007.232,-31.232
85.888,943.792,27.328,203.008,976.000,-15.616
81.008,942.816,25.864,195.200,976.000,-7.808
79.544,949.648,30.744,187.392,960.384,-23.424
81.008,940.864,26.840,163.968,960.384,-39.040
82.472,943.304,24.400,187.392,983.808,-23.424
78.080,948.672,26.840,171.776,1022.848,-39.040
74.664,955.504,27.328,187.392,960.384,0.000
72.712,956.480,24.400,156.160,968.192,-31.232
71.248,952.576,26.352,179.584,983.808,-23.424
73.688,948.184,23.912,187.392,968.192,-23.424
73.688,945.256,20.984,163.968,999.424,-54.656
71.248,940.376,21.960,187.392,952.576,0.000
70.272,942.328,19.032,171.776,991.616,-54.656
68.320,943.304,15.128,187.392,936.960,-31.232
68.320,946.232,13.664,195.200,991.616,-46.848
67.832,951.600,11.224,210.816,968.192,-46.848
66.368,953.552,10.736,148.352,991.616,-15.616
64.416,956.480,14.640,132.736,1007.232,-31.232
61.976,958.920,11.712,179.584,999.424,-46.848
60.024,959.896,9.272,179.584,999.424,-23.424
57.584,962.824,9.760,163.968,952.576,-23.424
57.584,965.752,11.712,163.968,1038.464,-31.232
55.144,968.192,11.224,140.544,1022.848,-23.424
52.704,970.632,12.200,140.544,1015.040,-46.848
49.776,970.632,11.712,195.200,999.424,-70.272
51.240,974.048,14.152,163.968,1022.848,-31.232
48.312,974.536,15.128,140.544,1015.040,-23.424
46.848,976.000,16.592,171.776,1022.848,-23.424
44.896,979.416,19.032,117.120,1007.232,-54.656
43.920,981.368,18.544,156.160,1022.848,-62.464
42.944,982.832,17.568,140.544,1022.848,0.000
43.432,985.272,20.496,163.968,1015.040,-46.848
42.944,988.688,23.424,148.352,1030.656,-23.424
41.480,993.080,24.888,140.544,1007.232,-15.616
37.088,995.520,28.304,156.160,1038.464,-39.040
36.112,995.520,28.792,132.736,1015.040,0.000
34.160,1000.400,31.720,140.544,1038.464,-54.656
30.744,1002.352,34.160,156.160,1022.848,-31.232
27.816,1005.280,38.064,132.736,1038.464,0.000
26.840,1008.696,41.968,140.544,1038.464,7.808
23.424,1009.184,44.408,140.544,1077.504,-23.424
22.448,1011.136,49.288,156.160,1061.888,-15.616
18.056,1013.088,49.776,140.544,1038.464,23.424
17.568,1012.112,57.096,109.312,1022.848,7.808
16.592,1012.112,56.608,117.120,1054.080,15.616
14.152,1011.624,57.096,117.120,1054.080,15.616
14.152,1011.136,58.560,124.928,1038.464,7.808
15.128,1009.672,59.536,132.736,1030.656,-7.808
15.616,1004.792,62.464,117.120,1054.080,-15.616
14.640,1001.864,61.000,124.928,1038.464,7.808
14.152,999.424,61.976,109.312,1054.080,0.000
15.128,995.032,62.464,156.160,1015.040,0.000
14.640,989.664,64.416,132.736,1038.464,7.808
17.080,989.176,62.952,132.736,999.424,-23.424
14.152,985.760,61.000,148.352,991.616,7.808
14.640,981.856,58.560,109.312,1030.656,-31.232
14.640,981.368,54.656,124.928,1007.232,-39.040
14.640,979.904,55.144,109.312,1022.848,-7.808
13.664,981.368,53.680,85.888,1038.464,7.808
13.664,980.392,54.168,140.544,999.424,7.808
11.224,980.880,52.704,140.544,1030.656,-7.808
12.200,984.296,50.264,140.544,1030.656,7.808
9.272,985.760,48.800,156.160,1015.040,-7.808
6.832,988.688,44.408,101.504,1015.040,-31.232
6.832,987.224,41.480,109.312,1022.848,-15.616
4.392,987.712,42.944,124.928,1022.848,15.616
4.880,990.640,38.064,140.544,1054.080,-23.424
0.488,992.592,34.648,93.696,1007.232,0.000
-0.488,990.152,33.184,109.312,1022.848,-46.848
-1.464,988.688,29.768,101.504,1015.040,-46.848
-3.416,987.712,26.840,85.888,1015.040,-15.616
-2.928,988.688,21.960,124.928,1015.040,-54.656
-5.368,987.224,22.936,132.736,1046.272,-23.424
-5.856,986.248,20.984,101.504,1038.464,-54.656
-6.832,983.320,16.104,148.352,991.616,-46.848
-6.832,983.320,13.664,117.120,999.424,-54.656
-9.272,981.368,6.832,101.504,1007.232,-54.656
-10.248,982.344,8.784,124.928,1015.040,-62.464
-9.272,982.832,5.856,124.928,1015.040,-15.616
-11.712,984.296,1.464,132.736,1007.232,-70.272
-12.688,982.344,-4.392,140.544,1007.232,-39.040
-11.224,985.760,-10.736,117.120,1030.656,-54.656
-13.664,987.712,-11.712,54.656,1046.272,-62.464
-13.664,990.640,-14.640,117.120,1046.272,-78.080
-14.152,995.520,-17.080,117.120,1022.848,-78.080
-18.056,997.960,-18.544,93.696,1046.272,-70.272
-20.496,1002.352,-17.568,109.312,1030.656,-70.272
-22.448,1007.720,-19.032,124.928,1054.080,-46.848
-25.376,1008.696,-20.008,140.544,1022.848,-70.272
-28.792,1012.112,-23.912,54.656,1046.272,-78.080
-32.696,1016.504,-24.400,101.504,1054.080,-101.504
-34.648,1016.016,-22.448,85.888,1030.656,-117.120
-37.088,1019.432,-24.400,78.080,1061.888,-31.232
-41.968,1021.384,-26.352,85.888,1046.272,-70.272
-42.944,1026.264,-28.792,39.040,1093.120,-101.504
-44.408,1027.240,-29.768,7.808,1069.696,-78.080
-45.872,1025.776,-30.744,78.080,1069.696,-70.272
-44.896,1028.216,-31.720,85.888,1061.888,-78.080
-46.848,1028.704,-28.792,70.272,1030.656,-101.504
-49.288,1031.632,-33.184,7.808,1077.504,-109.312
-49.288,1031.144,-35.624,93.696,1100.928,-101.504
-49.288,1031.144,-34.160,78.080,1038.464,-132.736
-50.752,1034.072,-34.160,78.080,1093.120,-101.504
-51.240,1038.464,-34.648,70.272,1085.312,-132.736
-50.752,1039.928,-36.112,85.888,1069.696,-117.120
-52.704,1038.464,-36.600,78.080,1069.696,-101.504
-51.728,1040.416,-36.112,85.888,1069.696,-101.504
-52.704,1035.048,-37.576,85.888,1061.888,-78.080
-55.144,1037.000,-33.672,46.848,1077.504,-109.312
-56.120,1038.464,-34.160,54.656,1100.928,-85.888
